Date,Value
1981,0.928586965
1982,1.005901536
1983,0.942770983
1984,0.947300631
1985,0.942701292
1986,1.023382956
1987,1.022825458
1988,0.986488
1989,0.971992821
1990,1.005107127
1991,1.036677606
1992,1.063897332
1993,1.099159148
1994,1.123262499
1995,1.085873937
1996,1.062359081
1997,1.082733725
1998,1.138844226
1999,1.122042864
2000,1.043572319
2001,1.036700694
2002,1.053647961
2003,1.057768416
2004,0.993985557
2005,0.985777749
2006,0.990100996
2007,0.985850636
2008,1.019279365
2009,1.042952353
2010,1.06969672
2011,1.089699672
2012,1.100750092
2013,1.176391551
2014,1.238796602
2015,1.269889784
2016,1.300982966
2017,1.332076148
2018,1.363169331
2019,1.394262513
2020,1.425355695
